157.55.39.17 - - [25/Jun/2018:19:09:47 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 301 328
92.104.28.39 - - [25/Jun/2018:19:16:03 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_r_bottom.png HTTP/1.1" 200 1803
92.104.28.39 - - [25/Jun/2018:19:16:03 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 200 2044
216.244.66.248 - - [25/Jun/2018:19:17:18 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [25/Jun/2018:19:17:19 +0200] "GET /robots.txt HTTP/1.1" 200 120
178.9.18.111 - - [25/Jun/2018:19:22:52 +0200] "GET / HTTP/1.1" 301 314
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23108
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET / HTTP/1.1" 200 6741
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
178.9.18.111 - - [25/Jun/2018:19:22:53 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
178.9.18.111 - - [25/Jun/2018:19:22:54 +0200] "GET /var/m_0/0d/0dd/12455/8987714-66_Vorbereitung.jpg HTTP/1.1" 200 138994
178.9.18.111 - - [25/Jun/2018:19:22:54 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
178.9.18.111 - - [25/Jun/2018:19:22:54 +0200] "GET /var/m_0/0d/0dd/12455/8987711-71_Gigathlon.jpg HTTP/1.1" 200 205714
178.9.18.111 - - [25/Jun/2018:19:22:54 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
178.9.18.111 - - [25/Jun/2018:19:22:54 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 200 138460
178.9.18.111 - - [25/Jun/2018:19:22:54 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
178.9.18.111 - - [25/Jun/2018:19:22:54 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
178.9.18.111 - - [25/Jun/2018:19:22:54 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
178.9.18.111 - - [25/Jun/2018:19:22:55 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
178.9.18.111 - - [25/Jun/2018:19:22:55 +0200] "GET /templates/resellers/7/favicon.ico?v=1529179179 HTTP/1.1" 200 4286
178.9.18.111 - - [25/Jun/2018:19:22:55 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
178.9.18.111 - - [25/Jun/2018:19:22:55 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
178.9.18.111 - - [25/Jun/2018:19:22:55 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
178.9.18.111 - - [25/Jun/2018:19:22:55 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
178.9.18.111 - - [25/Jun/2018:19:23:06 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
178.9.18.111 - - [25/Jun/2018:19:23:06 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5090
178.9.18.111 - - [25/Jun/2018:19:23:06 +0200] "GET /templates/resellers/7/favicon.ico?v=1529229038 HTTP/1.1" 200 4286
178.9.18.111 - - [25/Jun/2018:19:23:06 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 301 343
178.9.18.111 - - [25/Jun/2018:19:23:45 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 301 335
178.9.18.111 - - [25/Jun/2018:19:23:46 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 200 5386
178.9.18.111 - - [25/Jun/2018:19:23:48 +0200] "GET /templates/resellers/7/favicon.ico?v=1529229034 HTTP/1.1" 200 4286
178.9.18.111 - - [25/Jun/2018:19:23:56 +0200] "GET /pruefungskurs.shtml HTTP/1.1" 301 333
178.9.18.111 - - [25/Jun/2018:19:23:56 +0200] "GET /pruefungskurs.shtml HTTP/1.1" 200 5917
178.9.18.111 - - [25/Jun/2018:19:23:57 +0200] "GET /templates/resellers/7/favicon.ico?v=1529229022 HTTP/1.1" 200 4286
66.249.64.13 - - [25/Jun/2018:19:34:56 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 304 -
216.244.66.248 - - [25/Jun/2018:19:40:48 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [25/Jun/2018:19:40:50 +0200] "GET /robots.txt HTTP/1.1" 200 120
54.36.148.122 - - [25/Jun/2018:19:51:30 +0200] "GET /kurse HTTP/1.1" 301 319
