83.78.235.227 - - [29/Apr/2019:13:07:09 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
83.78.235.227 - - [29/Apr/2019:13:07:09 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
83.78.235.227 - - [29/Apr/2019:13:07:09 +0200] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
83.78.235.227 - - [29/Apr/2019:13:07:09 +0200] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
83.78.235.227 - - [29/Apr/2019:13:07:10 +0200] "GET / HTTP/1.1" 200 6632
83.78.235.227 - - [29/Apr/2019:13:07:10 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
83.78.235.227 - - [29/Apr/2019:13:07:10 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
83.78.235.227 - - [29/Apr/2019:13:07:10 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
83.78.235.227 - - [29/Apr/2019:13:07:15 +0200] "GET /kurse HTTP/1.1" 200 6397
83.78.235.227 - - [29/Apr/2019:13:07:15 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
83.78.235.227 - - [29/Apr/2019:13:07:15 +0200] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
83.78.235.227 - - [29/Apr/2019:13:07:15 +0200] "GET /var/m_0/0d/0dd/12455/125489-5_Pr%C3%BCfungskurs.JPG HTTP/1.1" 200 53669
83.78.235.227 - - [29/Apr/2019:13:07:15 +0200] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
83.78.235.227 - - [29/Apr/2019:13:07:23 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
83.78.235.227 - - [29/Apr/2019:13:07:30 +0200] "GET /segel-grundkurs HTTP/1.1" 200 5324
83.78.235.227 - - [29/Apr/2019:13:14:35 +0200] "GET /kurse HTTP/1.1" 200 6397
83.78.235.227 - - [29/Apr/2019:13:15:00 +0200] "GET / HTTP/1.1" 200 6632
216.244.66.248 - - [29/Apr/2019:13:21:53 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [29/Apr/2019:13:21:55 +0200] "GET /robots.txt HTTP/1.1" 200 120
188.165.200.217 - - [29/Apr/2019:13:25:15 +0200] "HEAD / HTTP/1.1" 301 0
193.134.161.64 - - [29/Apr/2019:13:40:46 +0200] "GET / HTTP/1.1" 200 7878
193.134.161.64 - - [29/Apr/2019:13:40:46 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 710
193.134.161.64 - - [29/Apr/2019:13:40:46 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1189
193.134.161.64 - - [29/Apr/2019:13:40:46 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
193.134.161.64 - - [29/Apr/2019:13:40:47 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
193.134.161.64 - - [29/Apr/2019:13:40:47 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
193.134.161.64 - - [29/Apr/2019:13:40:47 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
193.134.161.64 - - [29/Apr/2019:13:40:52 +0200] "GET /var/m_0/0d/0dd/12455/9564461-Corsaire_Titel.JPG HTTP/1.1" 200 226174
193.134.161.64 - - [29/Apr/2019:13:40:52 +0200] "GET /js/bundles/front_bundle.min.js?v=7.0.1.44028 HTTP/1.1" 200 56504
193.134.161.64 - - [29/Apr/2019:13:40:52 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
193.134.161.64 - - [29/Apr/2019:13:40:52 +0200] "GET /css/skeleton.css HTTP/1.1" 200 4100
193.134.161.64 - - [29/Apr/2019:13:40:52 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
193.134.161.64 - - [29/Apr/2019:13:40:53 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
193.134.161.64 - - [29/Apr/2019:13:40:53 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
193.134.161.64 - - [29/Apr/2019:13:40:53 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_b_bottom.png HTTP/1.1" 200 962
