54.36.149.23 - - [19/Nov/2018:14:11:57 +0100] "GET /segelkurs-jollesmartkat HTTP/1.1" 301 337
212.126.163.148 - - [19/Nov/2018:14:39:24 +0100] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43359 HTTP/1.1" 200 48314
212.126.163.148 - - [19/Nov/2018:14:39:24 +0100] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
212.126.163.148 - - [19/Nov/2018:14:39:32 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094580 HTTP/1.1" 200 4286
212.126.163.148 - - [19/Nov/2018:14:39:32 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 31294
212.126.163.148 - - [19/Nov/2018:14:40:38 +0100] "GET /kurse.shtml HTTP/1.1" 200 32172
212.126.163.148 - - [19/Nov/2018:14:40:39 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094507 HTTP/1.1" 200 4286
212.126.163.148 - - [19/Nov/2018:14:40:46 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 31845
212.126.163.148 - - [19/Nov/2018:14:40:46 +0100] "GET /templates/resellers/7/favicon.ico?v=1538090770 HTTP/1.1" 200 4286
212.126.163.148 - - [19/Nov/2018:14:41:45 +0100] "GET /flotte.shtml HTTP/1.1" 200 32162
212.126.163.148 - - [19/Nov/2018:14:41:45 +0100] "GET /var/m_0/0d/0dd/12455/7441200-35_Finn4.jpg HTTP/1.1" 200 211101
212.126.163.148 - - [19/Nov/2018:14:41:45 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094598 HTTP/1.1" 200 4286
212.126.163.148 - - [19/Nov/2018:14:41:45 +0100] "GET /flotte.shtml HTTP/1.1" 301 318
212.126.163.148 - - [19/Nov/2018:14:41:45 +0100] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
212.126.163.148 - - [19/Nov/2018:14:41:46 +0100] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
212.126.163.148 - - [19/Nov/2018:14:42:27 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 31065
212.126.163.148 - - [19/Nov/2018:14:42:27 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094573 HTTP/1.1" 200 4286
212.126.163.148 - - [19/Nov/2018:14:42:27 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 301 335
212.126.163.148 - - [19/Nov/2018:14:42:47 +0100] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
212.126.163.148 - - [19/Nov/2018:14:42:48 +0100] "GET /var/m_0/0d/0dd/12455/126124-41_Wetter.JPG HTTP/1.1" 200 26919
212.126.163.148 - - [19/Nov/2018:14:42:49 +0100] "GET /favicon.ico HTTP/1.1" 200 1150
212.126.163.148 - - [19/Nov/2018:14:42:49 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 301 325
212.126.163.148 - - [19/Nov/2018:14:42:49 +0100] "GET /%c3%bcber-uns.shtml HTTP/1.1" 200 30640
212.126.163.148 - - [19/Nov/2018:14:42:49 +0100] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
212.126.163.148 - - [19/Nov/2018:14:42:49 +0100] "GET /var/m_0/0d/0dd/12455/119662-DSC_7544.JPG HTTP/1.1" 200 65485
212.126.163.148 - - [19/Nov/2018:14:42:49 +0100] "GET /var/m_0/0d/0dd/12455/126125-42_Standort.JPG HTTP/1.1" 200 63490
212.126.163.148 - - [19/Nov/2018:14:42:49 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094619 HTTP/1.1" 200 4286
212.126.163.148 - - [19/Nov/2018:14:42:52 +0100] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 30490
212.126.163.148 - - [19/Nov/2018:14:42:52 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094629 HTTP/1.1" 200 4286
212.126.163.148 - - [19/Nov/2018:14:43:13 +0100] "GET /davosersee.shtml HTTP/1.1" 301 322
212.126.163.148 - - [19/Nov/2018:14:43:14 +0100] "GET /davosersee.shtml HTTP/1.1" 200 31406
212.126.163.148 - - [19/Nov/2018:14:43:14 +0100] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
212.126.163.148 - - [19/Nov/2018:14:43:14 +0100] "GET /templates/resellers/7/favicon.ico?v=1538088485 HTTP/1.1" 200 4286
54.36.149.11 - - [19/Nov/2018:14:51:12 +0100] "GET /var/m_0/0d/0dd/12455/7230934-G4_Event_SK_02.jpg HTTP/1.1" 301 361
180.76.15.24 - - [19/Nov/2018:14:55:14 +0100] "GET / HTTP/1.1" 200 179296
180.76.15.157 - - [19/Nov/2018:14:55:14 +0100] "GET / HTTP/1.1" 301 314
