188.60.186.191 - - [18/Feb/2018:21:53:54 +0100] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
188.60.186.191 - - [18/Feb/2018:21:53:54 +0100] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
188.60.186.191 - - [18/Feb/2018:21:53:54 +0100] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
188.60.186.191 - - [18/Feb/2018:21:53:54 +0100] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
188.60.186.191 - - [18/Feb/2018:21:53:54 +0100] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
188.60.186.191 - - [18/Feb/2018:21:53:54 +0100] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
188.60.186.191 - - [18/Feb/2018:21:53:54 +0100] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
188.60.186.191 - - [18/Feb/2018:21:53:54 +0100] "GET /var/m_0/0d/0dd/12455/7441200-35_Finn4.jpg HTTP/1.1" 200 211101
188.60.186.191 - - [18/Feb/2018:21:54:16 +0100] "GET /vermietung.shtml HTTP/1.1" 200 5114
188.60.186.191 - - [18/Feb/2018:21:54:16 +0100] "GET /templates/resellers/7/favicon.ico?v=1518870309 HTTP/1.1" 200 4286
188.60.186.191 - - [18/Feb/2018:21:54:38 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 5396
188.60.186.191 - - [18/Feb/2018:21:54:39 +0100] "GET /templates/resellers/7/favicon.ico?v=1518870302 HTTP/1.1" 200 4286
188.60.186.191 - - [18/Feb/2018:21:55:36 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 4883
188.60.186.191 - - [18/Feb/2018:21:55:36 +0100] "GET /js/fancybox2/jquery.fancybox.min.css?v=6.9.42201 HTTP/1.1" 200 1020
188.60.186.191 - - [18/Feb/2018:21:55:36 +0100] "GET /js/efu/main.min.js?v=6.9.42201 HTTP/1.1" 200 1748
188.60.186.191 - - [18/Feb/2018:21:55:36 +0100] "GET /js/efu/w.gallery.min.js?v=6.9.42201 HTTP/1.1" 200 180
188.60.186.191 - - [18/Feb/2018:21:55:36 +0100] "GET /js/fancybox2/jquery.fancybox.min.js?v=6.9.42201 HTTP/1.1" 200 6267
