94.130.79.140 - - [23/Jan/2018:09:11:48 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:48 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:48 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:48 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:48 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:48 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:53 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:53 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:53 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:53 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:54 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:54 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:54 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:54 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
94.130.79.140 - - [23/Jan/2018:09:11:54 +0100] "GET /robots.txt HTTP/1.0" 200 120
80.123.167.98 - - [23/Jan/2018:09:29:31 +0100] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
35.226.23.240 - - [23/Jan/2018:09:45:58 +0100] "GET /robots.txt HTTP/1.1" 200 80
54.36.148.139 - - [23/Jan/2018:09:48:36 +0100] "GET /var/m_0/0d/0dd/12455/143513-G2_Optikurs2014_08.jpg HTTP/1.1" 200 167068
